#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_8070	27989	17	N	N	1	*	*,8070,*
contig_953	27824	6	N	N	1	*	*,953,*
contig_3777	27784	17	N	N	1	*	*,3777,*
contig_1086	27733	42	N	N	1	*	1086,2275,2272,2273,2274,2278
contig_4992	27640	13	N	N	1	*	*,4992,*
contig_3168	27562	19	N	N	1	*	*,3168,*
contig_6069	27378	8	N	N	1	*	*,6069,*
contig_7992	27115	16	N	N	1	*	*,7992,*
contig_7941	27087	20	N	N	1	*	7941,*
contig_2497	27000	22	N	N	1	*	*,2497,*
contig_2642	26939	23	N	N	1	*	*,2642,*
contig_3030	26772	21	N	N	1	*	*,3030,*
contig_538	26616	5	N	N	1	*	*,538,*
contig_4678	26553	11	N	N	1	*	*,4678,*
contig_5987	26325	19	N	N	1	*	*,5987,*
contig_6205	26218	7	N	N	1	*	*,6205,*
contig_3145	25938	17	N	N	1	*	*,3145,*
contig_1552	25884	8	N	N	1	*	*,1552,*
contig_7799	25767	17	N	N	2	*	*,7799,*
contig_7745	25662	15	N	N	1	*	7878,7745,1075
contig_7776	25475	16	N	N	1	*	*,7776,*
contig_218	25419	19	N	N	1	*	*,218,*
contig_7688	25309	8	N	N	1	*	*,7688,*
contig_7635	25245	13	N	N	1	*	*,7635,*
contig_1232	25207	13	N	N	1	*	*,1232,*
contig_4335	25085	21	N	N	1	*	*,4335,*
contig_5163	25051	9	N	N	1	*	*,5163,*
contig_3371	24915	7	N	N	1	*	*,3371,*
contig_2569	24886	5	N	N	1	*	2023,2569,*
contig_711	24870	18	N	N	1	*	*,711,*
contig_2077	24563	12	N	N	2	*	*,2077,*
contig_1072	24446	20	N	N	1	*	*,7877,1072,2306,*
contig_54	24375	20	N	N	2	*	*,1294,1294,1294,1294,1294,54,*
contig_3004	24278	9	N	N	1	*	*,3004,*
contig_6571	24272	5	N	N	1	*	*,6571,*
contig_5983	24251	7	N	N	1	*	*,5983,*
contig_2460	24184	21	N	N	3	*	*,2460,*
contig_887	24168	5	N	N	1	*	*,881,887,*
contig_7767	23942	17	N	N	1	*	*,7767,*
contig_8125	23932	21	N	N	1	*	*,8125,*
contig_3252	23849	8	N	N	1	*	*,3252,*
contig_7967	23813	17	N	N	1	*	*,7967,*
contig_901	23745	12	N	N	1	*	*,901,*
contig_7775	23742	10	N	N	2	*	*,7775,*
contig_505	23678	12	N	N	2	*	*,505,*
contig_4148	23649	5	N	N	1	*	*,4148,*
contig_618	23631	10	N	N	1	*	615,618,*
contig_1935	23579	18	N	N	1	*	*,1935,*
contig_1755	23521	19	N	Y	1	*	1755,*
contig_8065	23509	20	N	N	1	*	*,8065,*
contig_2262	23460	6	N	N	1	*	*,2262,*
contig_4315	23444	7	N	N	1	*	*,4315,*
contig_1793	23424	22	N	N	2	*	*,852,1793,*
contig_5299	23398	16	N	N	1	*	*,5299,*
contig_5552	23272	11	N	N	1	*	*,5552,*
contig_96	23226	22	N	N	1	*	*,828,96,-8000,-8000,*
contig_4961	23224	6	N	N	1	*	*,4961,*
contig_7783	23190	15	N	N	1	*	*,7783,*
contig_5863	23181	17	N	N	1	*	*,5863,*
contig_7959	23155	8	N	N	1	*	*,7959,*
contig_5551	22980	6	N	N	1	*	*,5551,*
contig_1934	22951	17	N	N	1	*	*,1934,*
contig_5040	22878	6	N	N	1	*	*,5040,*
contig_8049	22817	4	N	N	1	*	*,8049,*
contig_5343	22779	16	N	N	1	*	*,5343,*
contig_227	22688	42	N	N	2	*	*,448,446,447,444,445,227,232,*
contig_6877	22605	5	N	N	1	*	*,6877,*
contig_7848	22543	5	N	N	1	*	*,7848,*
contig_5207	22421	18	N	N	1	*	*,5207,*
contig_2487	22183	7	N	N	1	*	*,2487,*
contig_63	22079	48	N	N	1	*	-7830,-2021,63,2721,2722,2723,2724,2725,2726
contig_3352	22001	7	N	N	1	*	*,3352,*
contig_7222	22000	6	N	N	1	*	*,7222,*
contig_661	21884	18	N	N	1	*	*,661,*
contig_5454	21774	20	N	N	1	*	*,5454,*
contig_6040	21765	4	N	N	1	*	*,6040,*
contig_6622	21731	16	N	N	1	*	*,6622,*
contig_1071	21594	15	N	N	1	*	*,1071,*
contig_5978	21430	4	N	N	1	*	*,5978,*
contig_5414	21409	13	N	N	1	*	*,5414,*
contig_7988	21356	13	N	N	1	*	*,7988,*
contig_5197	21334	5	N	N	1	*	*,5197,*
contig_931	21318	16	N	N	1	*	*,931,*
contig_7976	21315	6	N	N	1	*	*,7976,*
contig_3397	21271	16	N	N	1	*	*,3397,*
contig_7672	21256	12	N	N	1	*	*,7672,*
contig_2468	21237	9	N	N	1	*	*,2468,*
contig_110	21180	20	N	N	2	*	*,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,110,*
contig_1982	21113	11	N	N	1	*	*,1982,*
contig_4288	21031	13	N	N	1	*	*,4288,*
contig_8144	20975	10	N	N	2	*	*,8144,*
contig_1876	20915	8	N	N	1	*	*,1876,*
contig_442	20847	26	N	N	2	*	-571,-572,442,1104,1104,*
contig_3973	20521	5	N	N	1	*	*,3973,5830
contig_2749	20497	17	N	N	1	*	*,2749,*
contig_4067	20415	9	N	N	1	*	*,4067,*
contig_7699	20352	14	N	N	2	*	*,7699,*
contig_7677	20347	21	N	N	1	*	*,7677,*
contig_4911	20319	6	N	N	1	*	*,4911,*
contig_8036	20120	11	N	N	1	*	*,8036,*
contig_1014	20054	11	N	N	1	*	*,1014,*
contig_8081	20042	12	N	N	2	*	*,8081,*
contig_200	20020	59	N	N	3	*	200,2722,2724
contig_600	20017	90	Y	N	4	*	600
contig_1931	20001	19	N	N	1	*	*,1931,*
contig_6568	19945	6	N	N	1	*	*,6568,*
contig_1959	19930	10	N	N	1	*	*,1959,*
contig_8130	19929	4	N	N	1	*	*,8130,6257,*
contig_338	19825	6	N	N	1	*	*,338,*
contig_5305	19803	16	N	N	2	*	*,5305,*
contig_7878	19756	15	N	Y	1	*	7878
contig_2233	19743	13	N	N	2	*	*,2233,*
contig_4690	19706	21	N	N	2	*	*,4690,*
contig_6600	19703	5	N	N	1	*	*,6600,*
contig_7803	19694	13	N	N	1	*	*,7803,*
contig_5861	19646	7	N	N	1	*	*,5861,*
contig_2324	19610	21	N	N	1	*	*,2324,*
contig_8068	19474	22	N	N	1	*	*,8068,*
contig_7701	19406	9	N	N	1	*	*,7701,*
contig_1456	19405	11	N	N	1	*	*,1456,*
contig_8031	19405	12	N	N	1	*	*,8031,*
contig_3027	19380	12	N	N	1	*	*,3027,*
contig_7874	19342	5	N	N	1	*	*,7874,*
contig_77	19333	12	N	N	1	*	*,77,*
contig_741	19303	15	N	N	1	*	*,741,*
contig_592	19279	18	N	N	1	*	*,592,*
contig_7744	19234	10	N	N	1	*	*,7744,*
contig_7266	19217	12	N	N	1	*	*,7266,*
contig_3452	19212	6	N	N	1	*	*,3452,*
contig_8093	19123	15	N	N	1	*	*,8093,*
contig_3521	19112	19	N	N	1	*	*,3521,*
contig_3658	19046	18	N	N	1	*	*,3658,*
contig_5403	18982	11	N	N	1	*	*,5403,*
contig_6083	18953	27	N	N	1	*	*,6083,*
contig_1874	18942	4	N	N	1	*	*,1874,*
contig_1637	18912	11	N	N	2	*	*,1637,*
contig_7779	18877	6	N	N	1	*	*,7779,*
contig_3089	18769	19	N	N	1	*	*,3089,*
contig_8034	18743	20	N	N	1	*	*,8034,*
contig_6969	18699	6	N	N	1	*	*,6969,*
contig_2140	18677	3	N	N	1	*	*,2140,*
contig_1320	18668	12	N	N	1	*	*,1320,*
contig_7997	18646	13	N	N	1	*	*,7997,*
contig_5258	18635	14	N	N	1	*	*,5258,*
contig_5481	18569	15	N	N	1	*	*,5481,*
contig_7823	18568	59	Y	N	3	*	7823
contig_5740	18500	10	N	N	1	*	*,5740,*
contig_7963	18469	16	N	N	2	*	*,7963,*
contig_5285	18460	11	N	N	1	*	*,5285,*
contig_7907	18439	17	N	N	1	*	*,7907,*
contig_7731	18411	13	N	N	1	*	*,7731,*
contig_7824	18387	5	N	N	1	*	*,7824,*
contig_7644	18337	6	N	N	1	*	*,7644,*
contig_7913	18337	8	N	N	2	*	*,7913,*
contig_646	18303	20	N	N	2	*	*,-644,-644,646,*
contig_1719	18287	6	N	N	1	*	*,1719,*
contig_6853	18286	21	N	N	1	*	*,6853,*
contig_6293	18270	12	N	N	2	*	*,6293,*
contig_2744	18217	6	N	N	1	*	*,2744,*
contig_5282	18203	5	N	N	1	*	*,5282,*
contig_7719	18201	12	N	N	1	*	*,7719,*
contig_7650	18131	14	N	N	2	*	*,7650,*
contig_8133	18119	5	N	N	1	*	*,8133,*
contig_3398	18103	21	N	N	1	*	*,3398,*
contig_5278	18092	13	N	N	1	*	*,5278,*
contig_6126	18082	4	N	N	1	*	*,6126,*
contig_5882	18026	9	N	N	1	*	*,5882,*
contig_1991	17997	6	N	N	1	*	*,1991,*
contig_6512	17904	15	N	N	1	*	*,6512,*
contig_269	17903	10	N	N	2	*	*,269,*
contig_5160	17885	18	N	N	1	*	*,5160,*
contig_2328	17862	6	N	N	1	*	*,2328,*
contig_3769	17844	15	N	N	1	*	*,3769,*
contig_8079	17835	15	N	N	1	*	*,8079,*
contig_7901	17729	24	N	Y	1	*	7901
contig_5531	17668	10	N	N	1	*	*,5531,*
contig_7989	17654	14	N	N	1	*	*,7989,*
contig_1640	17651	11	N	N	1	*	*,1640,*
contig_5590	17615	10	N	N	1	*	*,5590,*
contig_7879	17586	12	N	N	2	*	*,7879,*
contig_5756	17570	14	N	N	1	*	*,5756,*
contig_1348	17522	20	N	N	2	*	*,1348,*
contig_5489	17518	6	N	N	1	*	*,5489,*
contig_1774	17470	6	N	N	1	*	*,1774,*
contig_188	17421	16	N	N	1	*	-185,188,*
contig_8014	17412	13	N	N	1	*	*,8014,*
contig_6278	17347	5	N	N	1	*	*,6278,*
contig_225	17282	17	N	N	2	*	*,225,*
contig_6265	17272	4	N	N	1	*	*,6265,*
contig_7377	17260	6	N	N	1	*	*,7377,*
contig_4427	17255	7	N	N	1	*	*,4427,*
contig_7464	17246	5	N	N	1	*	*,7464,*
contig_10	17226	17	N	N	1	*	*,10,*
contig_4263	17215	9	N	N	1	*	*,4263,*
contig_4498	17184	16	N	N	1	*	*,4498,*
contig_7103	17144	7	N	N	1	*	*,7103,*
contig_3782	17133	23	N	N	1	*	*,3782,*
contig_7244	17126	12	N	N	1	*	*,7244,*
contig_2398	17101	14	N	N	1	*	*,2398,*
contig_7827	17098	10	N	N	2	*	*,7827,*
contig_3281	17093	11	N	N	1	*	*,3281,*
contig_6469	17072	6	N	N	1	*	*,6469,*
contig_201	17068	7	N	N	1	*	196,-192,201,*
contig_1423	17054	6	N	N	1	*	*,1423,*
contig_5009	17054	7	N	N	1	*	*,5009,*
contig_1561	17042	15	N	N	1	*	*,1561,*
contig_882	17037	10	N	N	1	*	*,882,*
contig_843	16988	17	N	N	1	*	*,828,834,835,843,*
contig_6213	16939	5	N	N	1	*	*,6213,*
contig_8126	16911	12	N	N	2	*	*,8126,*
contig_5219	16897	14	N	N	1	*	*,5219,*
contig_3760	16769	4	N	N	1	*	*,3760,*
contig_7674	16764	16	N	N	1	*	*,7674,*
contig_637	16702	3	N	N	1	*	*,637,*
contig_6519	16695	4	N	N	1	*	*,6519,*
contig_8071	16695	14	N	N	1	*	*,8071,*
contig_7615	16690	13	N	N	1	*	*,7615,*
contig_7994	16668	7	N	N	1	*	*,7994,*
contig_7638	16667	12	N	N	2	*	*,7638,*
contig_7654	16577	6	N	N	1	*	*,7654,*
contig_2535	16568	14	N	N	1	*	*,2535,*
contig_5323	16554	6	N	N	1	*	*,5323,*
contig_5045	16529	18	N	N	1	*	*,5045,*
contig_7939	16449	13	N	N	1	*	*,7939,*
contig_4630	16444	4	N	N	1	*	*,4630,*
contig_3096	16323	8	N	N	2	*	*,3096,*
contig_6141	16208	12	N	N	1	*	*,6141,*
contig_6740	16203	16	N	N	1	*	*,6740,*
contig_6944	16200	4	N	N	1	*	*,6944,*
contig_6029	16186	17	N	N	1	*	*,6029,*
contig_8115	16183	11	N	N	2	*	*,8115,*
contig_761	16172	8	N	N	1	*	*,761,*
contig_5996	16166	16	N	N	2	*	*,5996,*
contig_6672	16163	16	N	N	1	*	*,6672,*
contig_1182	16157	14	N	N	1	*	*,1182,*
contig_5941	16155	4	N	N	1	*	*,5941,*
contig_6808	16145	11	N	N	1	*	*,6808,*
contig_3570	16121	10	N	N	1	*	*,3570,*
contig_7847	16100	8	N	N	1	*	*,7847,*
contig_3110	16093	7	N	N	1	*	*,3110,*
contig_6655	16080	13	N	N	1	*	*,6655,*
contig_6914	16035	6	N	N	1	*	*,6914,*
contig_8099	15995	15	N	N	1	*	*,8099,*
contig_976	15995	5	N	N	1	*	*,976,*
contig_1995	15988	5	N	N	1	*	*,1995,*
contig_1246	15934	19	N	N	1	*	*,1246,*
contig_3197	15931	14	N	Y	1	*	*,3197
contig_5461	15928	12	N	N	1	*	*,5461,*
contig_6338	15889	14	N	N	1	*	*,6338,*
contig_5553	15875	13	N	N	1	*	*,5553,*
contig_4593	15874	14	N	N	1	*	*,4593,*
contig_1244	15838	16	N	N	1	*	*,1244,*
contig_7885	15777	6	N	N	1	*	*,7885,*
contig_7687	15775	17	N	N	1	*	*,7687,*
contig_2005	15754	6	N	N	1	*	*,2005,*
contig_5136	15730	14	N	N	1	*	*,5136,*
contig_7698	15724	17	N	N	1	*	*,7698,*
contig_7271	15672	6	N	N	1	*	*,7271,*
contig_7036	15662	19	N	N	1	*	*,7036,*
contig_7513	15646	4	N	N	1	*	*,7513,*
contig_5310	15611	7	N	N	1	*	*,5310,*
contig_6839	15544	3	N	N	1	*	*,6839,*
contig_6982	15525	8	N	N	1	*	*,6982,*
contig_6062	15491	16	N	N	2	*	*,6062,*
contig_4073	15479	9	N	N	2	*	*,4073,*
contig_7140	15431	4	N	N	1	*	*,7140,*
contig_1364	15420	8	N	N	2	*	*,1364,*
contig_4512	15416	6	N	N	1	*	*,4512,*
contig_5117	15389	17	N	N	1	*	*,5117,*
contig_3478	15363	20	N	N	1	*	*,3478,*
contig_7662	15336	13	N	N	1	*	*,7662,*
contig_7325	15328	5	N	N	1	*	*,7325,*
contig_7075	15294	7	N	N	1	*	*,7075,*
contig_5714	15291	7	N	N	1	*	*,5714,*
contig_1133	15275	11	N	N	1	*	*,1133,*
contig_5503	15263	12	N	N	1	*	*,5503,*
contig_6779	15230	10	N	N	1	*	*,6779,*
contig_7822	15206	13	N	N	1	*	*,7822,*
contig_7938	15195	18	N	N	1	*	*,7938,*
contig_5052	15182	16	N	N	2	*	*,5052,*
contig_8060	15169	15	N	N	1	*	*,8060,*
contig_4945	15164	16	N	N	1	*	*,4945,*
contig_7851	15142	12	N	N	2	*	*,7851,*
contig_5166	15139	8	N	N	1	*	*,5166,*
contig_4464	15108	3	N	N	1	*	*,4464,*
contig_7996	15107	13	N	N	1	*	*,7996,*
contig_3954	15087	14	N	N	2	*	*,3954,*
contig_7616	15086	4	N	N	1	*	*,7616,*
contig_5137	15066	13	N	N	1	*	*,5137,*
contig_2534	15026	16	N	N	1	*	*,2534,*
contig_6785	15012	17	N	N	1	*	*,6785,*
contig_5927	15004	17	N	N	1	*	*,5927,*
contig_3263	14991	3	N	N	1	*	*,3263,*
contig_5597	14969	10	N	N	2	*	*,5597,*
contig_7727	14951	13	N	N	1	*	*,7727,*
contig_622	14947	11	N	Y	3	*	622
contig_3648	14931	7	N	N	1	*	*,3648,*
contig_75	14924	13	N	N	1	*	*,75,*
contig_1756	14920	19	N	N	1	*	*,1756,*
contig_3325	14913	14	N	N	1	*	*,3325,*
contig_5794	14888	8	N	N	2	*	*,5794,*
contig_2032	14884	17	N	N	2	*	*,2032,*
contig_608	14858	16	N	N	2	*	*,608,*
contig_962	14857	6	N	N	1	*	*,962,*
contig_784	14826	7	N	N	1	*	*,784,*
contig_7392	14803	5	N	N	1	*	*,7392,*
contig_8106	14792	14	N	N	1	*	*,8106,*
contig_7833	14751	11	N	N	1	*	*,7833,*
contig_6609	14747	20	N	N	5	*	*,6609,*
contig_6224	14733	6	N	N	1	*	*,6224,*
contig_2852	14710	10	N	N	2	*	*,2852,*
contig_5449	14703	11	N	N	2	*	*,5449,*
contig_1470	14700	11	N	N	1	*	*,1470,*
contig_1359	14699	19	N	N	1	*	*,1359,*
contig_5270	14687	6	N	N	1	*	*,5270,*
contig_1274	14677	13	N	N	1	*	*,1274,*
contig_1633	14675	19	N	N	3	*	*,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631,1633,*
contig_1861	14671	20	N	N	1	*	*,1861,*
contig_2053	14658	4	N	N	1	*	*,2053,*
contig_7863	14658	17	N	N	1	*	*,7863,*
contig_570	14603	8	N	N	2	*	*,570,*
